Item #,Ref,Qty,Manufacturer,Mfg Part #,Description,Package,Type,Instruction
1,B1,1,,,BUZZER66,,,CEM-1203
2,"C1, C2, C3, C4, C5, C6, C7, C8",8,,,0.1µF,,,2688486RL
3,"C10, C11",2,,,47pF,,,1081223
4,"C15, C16",2,,,22uF,,,2666560
5,"C19, C20",2,,,2200uF,,,1902893
6,D1,1,,,PMEG4030EP,,,1829201
7,D3,1,,,,,,8737843RL
8,J1,1,,,USB-B,,,1308876
9,J2,1,,,,,,1217037
10,"J3, J4, J5",3,,,B6B-ZR,,,9491805
11,J6,1,,,KICKER,,,JF-0530B
12,L1,1,,,IHLP2525CZER220M11IND_IHLP_2525_CZ_VIS-M,,,1741369
13,"LED1, LED2, LED3, LED4, LED5, LED6",6,,,WS2812B5050,,,WS2812B 5050
14,"Q1, Q2",2,,,IRLMS2002TRPBF,,,2577180RL
15,Q3,1,,,"NPN_BC817,215",,,1081223
16,Q4,1,,,SUD50N04-8M8P-4GE3,,,1794799
17,R1,1,,,270,,,1887603
18,R2,1,,,2k,,,MCWR08X2001FTL
19,R3,1,,,20K,,,2074395
20,R4,1,,,68k,,,2447023
21,"R5, R9, R10",3,,,10K,,,2074334RL
22,R6,1,,,0.3OHM-0805-1/8W-1%,,,2447648
23,R7,1,,,470,,,2447662
24,"R8, R11",2,,,2K,,,2447622
25,"R12, R13",2,,,22,,,2446926
26,"REG1, REG2",2,,,REG_5V,,,1696320
27,S1,1,,,DPDT,,,2435159
28,U1,1,,,FT232L,,,1146032
29,U2,1,,,ESP32-WROOM-32E_(16MB),,,ESP32-WROOM
30,U3,1,,,S8252,,,https://www.digikey.fr/fr/products/detail/ablic-u-s-a-inc/S-8252AAL-M6T1U/6121452
31,"U4, U5, U6",3,,,L9110,,,L9110 SOIC8
32,U7,1,,,MT3608,,,MT3608
